    时间                  刷题数目                累计用时
  。。。。。。。。。。。。(以前的记录删了)。。。。。。。。。。
  2019/3/22                (acm)2                   2
  2019/3/23                (acm)1                   1
  2019/3/24                (acm)2,笔记题1           2.5
  2019/3/25                (acm)2,笔记题2           3
  2019/3/26                (acm)1                  0.1
  2019/3/27                笔记题1                  0.5
  2019/3/28                (acm)1                   1
  2019/3/29                笔记题2                  1.5
  2019/3/30-31             笔记题1                  4
  2019/4/1                 (PIA)1,(acm)1            2.5
  2019/4/2                 (数据结构)1              1.2
  2019/4/3                 (数据结构)1              0.5
  2019/4/4                 (acm)1                   1.5
  2019/4/5                 (acm)2                   1.5
  2019/4/6                 (数据结构)1               3
  2019/4/7                 (数据结构)2,(acm)1        4.5
  2019/4/8-9               (数据结构)1,(acm)2        3
  2019/4/9-10              (数据结构)2               3
  2019/4/11                (数据结构)1,(acm)1        4
  
